decade,genres,count
1940s,historic orchestral performance,161
1940s,vintage chinese pop,159
1940s,carnatic,136
1940s,early modern classical,134
1940s,c-pop,126
1940s,classical era,125
1940s,easy listening,117
1940s,indian classical,115
1940s,classic arab pop,110
1940s,violin,110
1940s,arab folk,109
1940s,german romanticism,106
1940s,classic soundtrack,99
1940s,pakistani pop,94
1940s,late romantic era,93
1940s,belly dance,90
1940s,bebop,88
1940s,neoclassicism,85
1940s,hard bop,83
1940s,velha guarda,81
1940s,classic italian folk pop,79
1940s,calypso,77
1940s,classical guitar,77
1940s,carnatic vocal,76
1940s,jazz piano,70
1940s,historic classical performance,67
1940s,italian adult pop,67
1940s,early romantic era,65
1940s,classic kollywood,64
1940s,post-romantic era,64
1940s,ye ye,64
1940s,turkish jazz,63
1940s,jazz trumpet,61
1940s,guitarra clasica,60
1940s,russian modern classical,57
1940s,french romanticism,54
1940s,vintage jazz,54
1940s,torch song,53
1940s,opera,52
1940s,bangla,51
1940s,harlem renaissance,51
1940s,classical tenor,49
1940s,french jazz,49
1940s,french opera,49
1940s,gypsy jazz,49
1940s,jazz guitar,49
1940s,hollywood,48
1940s,soul jazz,47
1940s,early music,46
1940s,new orleans jazz,46
1940s,chanson,44
1940s,turkish classical,43
1940s,chutney,42
1940s,operetta,42
1940s,swing italiano,42
1940s,classical mezzo-soprano,39
1940s,jazz saxophone,38
1940s,classical bass,36
1940s,classical soprano,36
1940s,african-american classical,35
1940s,austrian orchestra,35
1940s,cowboy western,35
1940s,jazz violin,35
1940s,latin classical,35
1940s,movie tunes,35
1940s,classical baritone,34
1940s,art song,33
1940s,british orchestra,33
1940s,choral,33
1940s,vintage taiwan pop,33
1940s,jazz clarinet,32
1940s,marathi traditional,32
1940s,baroque,31
1940s,american modern classical,30
1940s,vocal harmony group,30
1940s,flamenco,29
1940s,greek clarinet,29
1940s,hindustani classical,29
1940s,rumba,29
1940s,samba,29
1940s,bouzouki,28
1940s,canzone genovese,28
1940s,impressionism,28
1940s,modern bollywood,28
1940s,dixieland,27
1940s,greek indie,27
1940s,copla,26
1940s,exotica,26
1940s,laboratorio,24
1940s,theremin,24
1940s,kashmiri pop,23
1940s,indian instrumental,22
1940s,anadolu rock,21
1940s,bhajan,21
1940s,classic mandopop,21
1940s,soul,21
1940s,turkish instrumental,21
1940s,turkish psych,21
1940s,turkish rock,21
1940s,appalachian folk,20
1940s,choro,20
1940s,latin jazz,20
1940s,traditional country,20
1940s,vintage hollywood,20
1940s,german baroque,19
1940s,guitarra argentina,19
1940s,mento,19
1940s,oklahoma country,19
1940s,yodeling,19
1940s,acoustic blues,18
1940s,blues,18
1940s,country blues,18
1940s,delta blues,18
1940s,folk,18
1940s,hindustani vocal,18
1940s,jazz fusion,18
1940s,texas blues,18
1940s,traditional blues,18
1940s,traditional folk,18
1940s,western swing,18
1940s,greek swing,17
1940s,tamil pop,17
1940s,telugu devotional,17
1940s,nueva cancion,16
1940s,oratory,16
1940s,punjabi folk,15
1940s,american orchestra,14
1940s,brill building pop,14
1940s,classic peruvian pop,14
1940s,german orchestra,14
1940s,trad jazz catala,14
1940s,carnatic instrumental,13
1940s,jazz trombone,13
1940s,light music,13
1940s,sertanejo,13
1940s,sertanejo tradicional,13
1940s,sertanejo universitario,13
1940s,bandoneon,12
1940s,bossa nova,12
1940s,brass ensemble,12
1940s,nuevo tango,12
1940s,cook islands pop,11
1940s,vintage spanish pop,11
1940s,classical horn,10
1940s,comic,10
1940s,german hip hop,10
1940s,macedonian folk,10
1940s,pakistani folk,10
1940s,arab pop,9
1940s,avant-garde jazz,9
1940s,british modern classical,9
1940s,chill guitar,9
1940s,vintage schlager,9
1940s,french baroque,8
1940s,hindustani instrumental,8
1940s,historic piano performance,8
1940s,lebanese pop,8
1940s,nagpuri pop,8
1940s,tabla,8
1940s,disney,7
1940s,ecm-style jazz,6
1940s,indian jazz,6
1940s,indian violin,6
1940s,library music,6
1940s,mpb,6
1940s,polish classical,6
1940s,romanian classical piano,6
1940s,russian romanticism,6
1940s,tollywood,6
1940s,vintage classical singing,6
1940s,violao,6
1940s,classic persian pop,5
1940s,classical piano,5
1940s,fado,5
1940s,french soundtrack,5
1940s,german choir,5
1940s,german classical piano,5
1940s,guitarra portuguesa,5
1940s,italian bass,5
1940s,italian romanticism,5
1940s,mollywood,5
1940s,navajo,5
1940s,soundtrack,5
1940s,spanish classical,5
1940s,tin pan alley,5
1940s,turkish folk,5
1940s,american romanticism,4
1940s,bengali folk,4
1940s,cello,4
1940s,classic schlager,4
1940s,classical cello,4
1940s,cuban rumba,4
1940s,czech classical,4
1940s,english baroque,4
1940s,folclore extremeno,4
1940s,french pop,4
1940s,gospel antigas,4
1940s,gujarati garba,4
1940s,gujarati pop,4
1940s,kannada bhava geethe,4
1940s,laiko,4
1940s,mexican classical,4
1940s,musica tradicional cubana,4
1940s,nouvelle chanson francaise,4
1940s,odia bhajan,4
1940s,polish classical piano,4
1940s,sambass,4
1940s,turkish pop,4
1940s,avant-garde,3
1940s,children's choir,3
1940s,drama,3
1940s,flamenco guitar,3
1940s,german literature,3
1940s,harmonica blues,3
1940s,italian opera,3
1940s,jazz drums,3
1940s,norwegian classical,3
1940s,piedmont blues,3
1940s,spytrack,3
1940s,vintage radio show,3
1940s,ballroom,2
1940s,bluegrass,2
1940s,bluegrass fiddle,2
1940s,british choir,2
1940s,classic indo pop,2
1940s,classical flute,2
1940s,croatian folk,2
1940s,croatian pop,2
1940s,disco polo,2
1940s,haitian traditional,2
1940s,instrumental bluegrass,2
1940s,italian soprano,2
1940s,mambo,2
1940s,old-time,2
1940s,piano blues,2
1940s,progressive bluegrass,2
1940s,re:techno,2
1940s,samba-jazz,2
1940s,sleep,2
1940s,syrian pop,2
1940s,theme,2
1940s,vapor pop,2
1940s,veena,2
1940s,ambient fusion,1
1940s,australian classical,1
1940s,austro-german modernism,1
1940s,baglama,1
1940s,bahamian folk,1
1940s,belgian indie rock,1
1940s,brazilian classical,1
1940s,brazilian ska,1
1940s,british folk,1
1940s,canadian contemporary r&b,1
1940s,cantautor,1
1940s,cha-cha-cha,1
1940s,classic bhangra,1
1940s,classic dubstep,1
1940s,compositional ambient,1
1940s,contemporary post-bop,1
1940s,country gospel,1
1940s,deep free jazz,1
1940s,deep latin alternative,1
1940s,dhrupad,1
1940s,early reggae,1
1940s,english renaissance,1
1940s,entehno,1
1940s,ethnomusicology,1
1940s,galante era,1
1940s,hungarian classical performance,1
1940s,hungarian classical piano,1
1940s,irish classical,1
1940s,italian baroque,1
1940s,jazz blues,1
1940s,jazz quartet,1
1940s,latin,1
1940s,latin arena pop,1
1940s,latin pop,1
1940s,mexican pop,1
1940s,midwest americana,1
1940s,musica piemonteisa,1
1940s,old school dancehall,1
1940s,oud,1
1940s,persian alternative,1
1940s,renaissance,1
1940s,rhythm and blues,1
1940s,rock en espanol,1
1940s,sandalwood,1
1940s,space age pop,1
1940s,spanish pop,1
1940s,swing revival,1
1940s,telugu worship,1
1940s,traditional british folk,1
1940s,ukrainian classical,1
1940s,vaudeville,1
1940s,vintage italian soundtrack,1
1940s,vintage swing,1
1940s,viola,1
1940s,volksmusik,1
1950s,adult standards,4368
1950s,vocal jazz,3858
1950s,jazz,3111
1950s,lounge,3093
1950s,cool jazz,3041
1950s,filmi,2770
1950s,classic bollywood,2248
1950s,swing,2166
1950s,bebop,2129
1950s,sufi,2107
1950s,hard bop,1816
1950s,desi pop,1574
1950s,big band,1522
1950s,stride,1434
1950s,easy listening,1405
1950s,soul jazz,1280
1950s,classical,1242
1950s,soul,1100
1950s,torch song,1024
1950s,ghazal,1006
1950s,jazz blues,957
1950s,classic tollywood,956
1950s,brill building pop,909
1950s,classical performance,883
1950s,jazz saxophone,861
1950s,rock-and-roll,859
1950s,jazz piano,831
1950s,rockabilly,747
1950s,classic pakistani pop,735
1950s,jazz fusion,726
1950s,jazz trumpet,705
1950s,latin jazz,638
1950s,orchestra,626
1950s,orchestral performance,576
1950s,exotica,491
1950s,historic orchestral performance,455
